SchoolName,Number,Street,Unit,City,State,Postcode,Latitude,Longitude,Contact,Telephone,Email,Web,date,time,Borough,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location 1
AA Driver Training  Center,420,42nd Street,Unit B,Brooklyn,NY,11232,40.6505228,-74.00697102,Lalo Guo,(718) 886-6249,info@dtadirect.com,http://www.dtadirect.com,10/20/2022,09:49.6,BROOKLYN,307,38,82,3394271,3007247501,Sunset Park West,"(40.6505228, -74.00697102)"
AAJ Desi Black Yellow Green Professional Driver Academy Inc.,1318,Southern Blvd,1st Floor,Bronx,NY,10459,40.83131485,-73.89009651,Poly Saha,(347) 256-2790,aajdesiacademy@gmail.com,http://www.aajdesidriveracademy.com,10/20/2022,09:49.6,BRONX,203,17,123,2126613,2029800017,Crotona Park East,"(40.83131485, -73.89009651)"
J1 Drivers Training,74-09,37th Ave,Suite #301,Jackson Heights,NY,11372,40.74933163,-73.89097692,Ali Karim,(718)-433-9101,jamaicaonetrainers@gmail.com,http://www.jamaicaonetrainers.com,10/20/2022,09:49.6,QUEENS,403,25,289,4029563,4012740035,Jackson Heights,"(40.74933163, -73.89097692)"
"NYC Driver Institute, Inc.",33-24,Northern Boulevard,4th floor,Long Island City,NY,11101,40.75182141,-73.9293832,Charles LaSala,(718) 255-9500,school@tlcdriver.nyc,http://driverinstitute.nyc,10/20/2022,09:49.6,QUEENS,401,26,171,4445806,4002140238,Hunters Point-Sunnyside-West Maspeth,"(40.75182141, -73.9293832)"
AA Driver Training  Center,143-28,41st Avenue,Unit M1,Flushing,NY,11355,40.76002371,-73.8221581,Lalo Guo,(718) 886-6249,info@dtadirect.com,http://www.dtadirect.com,10/20/2022,09:49.6,QUEENS,407,20,855,4614364,4050487504,Flushing,"(40.76002371, -73.8221581)"
CUNY Kingsborough Community College,2001,Oriental Boulevard,Room T4122,Brooklyn,NY,11235,40.57879901,-73.93472896,Sunny Hau,(718) 368-5189,drivers@kbcc.cuny.edu,http://www.kbcc.cuny.edu,10/20/2022,09:49.6,BROOKLYN,315,48,616,3326937,3087600060,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,"(40.57879901, -73.93472896)"
J1 Drivers Training,87-12,175th Street,Suite #C1,Jamaica,NY,11432,40.71135434,-73.78704132,Ali Karim,(718) 206-9200,jamaicaonetrainers@gmail.com,http://www.jamaicaonetrainers.com,10/20/2022,09:49.6,QUEENS,412,27,462,4600457,4098307502,Jamaica,"(40.71135434, -73.78704132)"
"NYC Driver Institute, Inc.",31-00,47th Avenue,1st Floor,Long Island City,NY,11101,40.74229181,-73.93467777,Charles LaSala,(718) 255-9500,school@tlcdriver.nyc,http://driverinstitute.nyc,10/20/2022,09:49.6,QUEENS,402,26,199,4003539,4002810001,Hunters Point-Sunnyside-West Maspeth,"(40.74229181, -73.93467777)"
"AAA Knowledge Seekers, Inc.",86-11,Lefferts Boulevard,NULL,Richmond Hill,NY,11418,40.70127889,-73.83081589,Asad R. Siddiqy,(718) 790-2000,queens@knowledgeseekers.nyc,http://www.knowledgeseekers.nyc,10/20/2022,09:49.6,QUEENS,409,29,144,4539223,4092730048,Richmond Hill,"(40.70127889, -73.83081589)"
Millennium Drivers Academy,60-19,Roosevelt Avenue,2nd Floor,Woodside,NY,11377,40.74587762,-73.90307393,Pavel Lopez,(718) 733-1220,millenniumdrivers@gmail.com,http://www.millenniumdriversnyc.com,10/20/2022,09:49.6,QUEENS,402,26,259,4028336,4012290122,Woodside,"(40.74587762, -73.90307393)"
CUNY Kingsborough Community College,3022,Avenue U,NULL,Brooklyn,NY,11229,40.60080834,-73.93730524,Sunny Hau,(929) 699-2290,drivers@kbcc.cuny.edu,http://www.kbcc.cuny.edu,10/20/2022,09:49.6,BROOKLYN,315,46,570,3200477,3073670001,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,"(40.60080834, -73.93730524)"
"AAA Knowledge Seekers, Inc.",1654,Castle Hill Avenue,NULL,Bronx,NY,10462,40.83927887,-73.85175616,Asad R. Siddiqy,(718) 524-9900,bronx@knowledgeseekers.nyc,http://www.knowledgeseekers.nyc,10/20/2022,09:49.6,BRONX,210,18,20601,2042006,2039900040,Westchester-Unionport,"(40.83927887, -73.85175616)"
Millennium Drivers Academy,1954,Jerome Avenue,NULL,Bronx,NY,10453,40.85135355,-73.90872505,Pavel Lopez,(718) 733-1220,millenniumdrivers@gmail.com,http://www.millenniumdriversnyc.com,10/20/2022,09:49.6,BRONX,205,14,23301,2008253,2028530017,Mount Hope,"(40.85135355, -73.90872505)"
Independent Drivers Guild Education Center,41-09,36th Street,3rd floor,Long Island City,NY,11101,40.74695918,-73.92758529,Brendan Sexton,(646) 499-3786,education@drivingguild.org,http://www.drivingguild.org,10/20/2022,09:49.6,QUEENS,402,26,179,4003131,4002170016,Hunters Point-Sunnyside-West Maspeth,"(40.74695918, -73.92758529)"
AAJ Desi Black Yellow Green Professional Driver Academy Inc.,89-36,Sutphin Blvd,3rd Floor,Jamaica,NY,11435,40.70323185,-73.80802139,Poly Saha,(347) 256-2790,aajdesiacademy@gmail.com,http://www.aajdesidriveracademy.com,10/20/2022,09:49.6,QUEENS,412,24,240,4206749,4096760013,Jamaica,"(40.70323185, -73.80802139)"
"NYC Driver Institute, Inc.",50,Westchester Square,1st floor,Bronx,NY,10461,40.84211743,-73.84297149,Charles LaSala,(718) 255-9500,school@tlcdriver.nyc,http://driverinstitute.nyc,10/20/2022,09:49.6,BRONX,210,13,200,2093110,2040730001,Van Nest-Morris Park-Westchester Square,"(40.84211743, -73.84297149)"
